text,annotation
በኢትዮጵያና በኤርትራ መካከል የሚደረገውን የድንበር መካለል በተመለከተ ሕዝቡ በመጭው እሁድ ወደመስቀል አደባባይ በመውጣት ስሜትና ፍላጐቱን እንዲገልጥ የኢትዮጵያውያ ዴሞክራሲያዊ ፓርቲ (ኢዴፓ) ጠየቀ።,"[('እሁድ', 'TIME'), ('ወደመስቀል አደባባይ', 'LOC'), ('የኢትዮጵያውያ ዴሞክራሲያዊ ፓርቲ (ኢዴፓ', 'ORG')]"
የድርጅቱ አመራር ባለፈው ማክሰኞ ጥር 27 ቀን በሰሜን ሆቴል ለአገር ውስጥና ለውጭ አገር ጋዜጣዊ መግለጫና 171;የኢትዮጵያ ሕዝብ የባሕር በር ባለቤትነት መብቱን የሚያሳጣውን ስምምነት በአደባባይ ወጥቶ የመቃወም ታሪካዊ ግዴታ አለበት 187; በሚል ርዕስ ባሰራጨው ጽሁፍ የኢትዮጵያ ሕዝብ ላለፉት 10 ዓመታት የተለያዩ ፖለቲካዊ፣ ኢኮኖሚያዊና ማህበራዊ ጥያቄዎችን አንስቶ ወያኔ/ ኢሕአዴግን በመታገል የሕይወት መስዋዕትነት መክፈሉን ገልጦ ወያኔ ግን ለጥያቄዎቹ መልስ ለመስጠት ብቃቱና ፍላጎቱ የሌለው ከመሆኑም በላይ አካሄድኩ በሚለው የተሀድሶ ግምገማ 171;የበከተና የበሰበሰ 187; ደረጃ ስለመድረሱ ራሱ አምኖ መቀበሉን ብቻ ጠቅሶ ማለፉ በቂ ይሆናል ብሏል።,"[('ማክሰኞ ጥር 27 ቀን', 'TIME'), ('በሰሜን ሆቴል', 'LOC'), ('10 ዓመታት', 'TIME'), ('ወያኔ/ ኢሕአዴግን', 'ORG')]"
የኢትዮጵያ ሕዝብ ፍላጎቱንና ጥቅሙን የሚፃረሩትን የወያኔ/ ኢሕአዴግ ተግባሮች 10 ዓመት ሙሉ ቢቃወምም የችግሮቹ ምንጭ የሆነውን ሥርዓት በአደባባይ ወጥቶ በመታገል ረገድ የህዝባችን ተሣትፎ ዝቅተኛ መሆኑን የጠቀሰው ኢዴፓ ከአጠቃላዩ የሕዝባችን ቁጥር አንፃር ሲመዘን ለትግሉ የሚገባውን መስዋዕትነት በመክፈል ላይ የሚገኘው ኢምንት ነው ብሏል። በመሆኑም ነው ወያኔ/ ኢሕአዴግ የሕዝብንና የሀገርን ብሔራዊ ጥቅም አሳልፎ እየሰጠ ከድርጊቱ የሚገታው ጠንካራ ህዝባዊ እንቅስቃሴ ጠፍቶ በራሱ የውስጥ ችግር 171;ለመበስበስና መብከት 187; የበቃው ብሏል።,"[('የወያኔ/ ኢሕአዴግ', 'ORG'), ('10 ዓመት', 'TIME'), ('ኢዴፓ', 'ORG'), ('ወያኔ/ ኢሕአዴግ', 'ORG')]"
ኢዴፓ በዚህ መግለጫው ላይ እንደጠቀሰው በኢትዮጵያና በኤርትራ መካከል የተፈጠረው ችግር እንደገና ለዓለም ሕብረተሰብ ፍርድ መቅረብ እንዳለበት፣ እንዲያውም በአሁኑ ወቅት ለኢትዮጵያ ብሔራዊ ጥቅም የሚቆረቆር መንግሥት ቢኖር ኖሮ የሚቀርበው ጥያቄ 171;ኤርትራ እንደ ሀገር የኢትዮጵያ አካል ነች፣ ወደ ኢትዮጵያ የተቀላቀለችውም በኤርትራ ሕዝብ ፍላጐትና በዓለም ሕብረተሰብ ዕውቅና ነው። መገንጠል አይገባትም 187; የሚል መሆን እንደነበረበትና ይህም የማይሳካ ቢሆን የባሕር በር መብታችንን መጠየቅም ሆነ ማማከር አለመፈለጉ እራሱ ለሰላም ፀር የሆነ ጊዜ እየጠበቀ ጉዳት የሚያደርስ ፈንጅ ነው በማለት ኢዴፓ እምነቱን ገልጿል።,"[('ኢዴፓ', 'ORG'), ('ኢዴፓ', 'ORG')]"
በማጠቃለያም 171;የዚህ የድንበር ስምምነት ጉዳይ ፈራሚ ወያኔ/ ኢሕአዴግ ብቻ ሣይሆን ትውልዱን ተጠያቂ የሚያደርግ መጥፎ የታሪክ አጋጣሚ ነው። ይህን ታሪካዊ ውርደት ለመሸከም ይህ ትውልድ ተገዷል። እንደአያት ቅድመ አያቶቹ 171;የሀገሬ ጥቅም አይደፈርም 187; ብሎ ሂደቱን ማስቆም አልቻለም። ጊዜና መንግሥት ከድተውት አቅምና ወኔ አንሶታል። ወደፊት ግን ይህችን የወደቀች ሀገር እንደገና የሚያነሣት ትውልድ እንደሚፈጠር አንጠራጠርም። ያ ትውልድ ሲመጣ ግን የአሁኑ ስምምነት ከሕዝብ ጥቅምና ፍላጎት ውጭ የተደረገ ስለመሆኑ በቂ መረጃ ይኖረው ዘንድ እያንዳንዱ ኢትዮጵያዊ ተቃውሞውን በአደባባይ ወጥቶ ዛሬ ለዓለም ሕብረተሰብ የማሰማት ግዴታ አለበት 187; በማለት እሁድ የካቲት 3 ቀን 1994 ዓ. ም ከጧቱ 3 ሰዓት በመስቀል አደባባይ የሚካሄደውን ስብሰባ መጥራቱን አስታውቋል።,"[('ወያኔ/ ኢሕአዴግ', 'ORG'), ('እሁድ የካቲት 3 ቀን 1994 ዓ. ም ከጧቱ 3 ሰዓት', 'TIME'), ('በመስቀል አደባባይ', 'LOC')]"
በአዲስ አበባ የመምህራን ገንዘብ እንዲመረመር ተጠየቀ,"[('በአዲስ አበባ', 'LOC')]"
ተለጣፊው የመምህራን ማህበር ቡድን ከአሠሪው መሥሪያ ቤት በሚያገኘው ያልተቋረጠ ድጋፍ ከሕግ ውጪ ከየዞኑ መምህራን የሚሰበሰበውን ወርሃዊና የመረዳጃ መዋጮ እጅ በእጅ በመቀበል የመምህራን አንጡራ ሀብት ለብክነት በመዳረጉ በሂሣብ ባለሙያዎች መመርመር እንዳለበት የአዲስ አበባ መምህራን ማኅበር ባሠራጨው መግለጫ አሳሰበ።,"[('የአዲስ አበባ መምህራን ማኅበር', 'ORG')]"
ስለዚህ አባት መምህራን በተለጣፊው ሥር መደራጀታቸው የሚያስገኝላቸው አንዳችም ጥቅም እንደሌለ በመረዳት በጐ ታሪካቸውን በስተመጨረሻ ላይ ጥላሸት እንዳይቀቡ የአዲስ አበባ መምህራን ማህበር መክሯል።,"[('የአዲስ አበባ መምህራን ማህበር', 'ORG')]"
በኦሮሚያ የኃላፊዎች አመዳደብ እያነጋገረ ነው,"[('በኦሮሚያ', 'LOC')]"
በአቶ ኩማ ደመቅሣ ይመራ የነበረው የኦሮሚያ ክልል ምክር ቤት በእነ ጁነዲን ሳዶ የተሻለ አመራር ያስገኛል ተብሎ ሲጠበቅ የአንድ አካባቢና የአንድ እምነት ተጽእኖ አይሎበት በመታየቱ በምትኩ በአባዱላ ገመዳ የሚመራ ካቢኔ እንደገና ሊቋቋም እንደሚችል ለምክር ቤቱ ቀረቤታ ያላቸው ውስጥ አዋቂዎች በመጠቆም ላይ ናቸው።,"[('በአቶ', 'TTL'), ('ኩማ ደመቅሣ', 'PER'), ('ጁነዲን ሳዶ', 'PER'), ('በአባዱላ ገመዳ', 'PER')]"
በጁነዲን ሳዶ የተቋቋመው ካቢኔ በአብዛኛው የአርሲ፣ የሐረር፣ የባሌ ሙስሊሞችን ያሰባሰብና የክርስትና እምነት ያላቸውን እና የምዕራብ ኦሮሚያ ተወላጆችን ያገለለ የጐሳ ካቢኔ ነው በመባል እየተተቸ ነው። ይህም ክልሉን ለከፋ ብጥብጥና ሁከት የሚያመቻች ከመሆኑም በላይ ይህን የጠየቀ የኦሮሚያ ተወላጅ ኦነግ ተብሎ ፈጣን እርምጃ እንደሚያስወስድበትየዚህ ሰለባ የሆኑ ብዙ ሹሞች መኖራቸውን ጠቁመዋል።,"[('በጁነዲን ሳዶ', 'PER'), ('የአርሲ', 'LOC'), ('የሐረር', 'LOC'), ('የባሌ', 'LOC'), ('የምዕራብ ኦሮሚያ', 'LOC'), ('ኦነግ', 'ORG')]"
ይህን የተዛባ ሁኔታ ለማስተካከል የቀድሞ ሜጀር ጀኔራል የአሁኑ አቶአባዱላ ገመዳ የሀገር መከላከያ ሚኒስትርነታቸውን በመተው የኦሮሚያ ፕሬዚዳንት ለመሆን ቅድመ ሁኔታዎች ተመቻችተው መጠናቀቃቸውንና ጁነዲን ሳዶን ጨምሮ አብዛኛዎቹ የካቢኔ አባላት እንደሚወገዱ በመናፈስ ላይ ነው።,"[('ሜጀር ጀኔራል', 'TTL'), ('አቶአባዱላ ገመዳ', 'PER'), ('ጁነዲን ሳዶን', 'PER')]"
ይህን ሚዛናዊና ወካይ ያልሆነ የኦሮሚያ ክልል ምክር ቤት ካቢኔ ወደ ከፍተኛ አደጋ ከመድረሱ በፊት የማስተካከያ እርምጃ መውሰድ አስፈላጊነቱ ታምኖበታል። ውስጥ አዋቂ ምንጮቹ የችግሩን አሳሳቢነት ጠቅላይ ሚኒስትር መለስ በቅርብ እንደሚያውቁትና ሁኔታውንም እንደማይደግፉት፣ በዚህም የተነሳ በክልሉ ላይ ያላቸው ዕምነት የላላ ነው ብለዋል።,"[('ጠቅላይ ሚኒስትር', 'TTL'), ('መለስ', 'PER')]"
በተጀመረው የፌዴራል ፖሊስ አቅም ግንባታ በሀገር ውስጥና ውጭ አገር የሰለጠነ የአድማ ብተና ኃይል ተደራጅቶ ሥራ መጀመሩን የፌዴራል ጉዳዮች ሚኒስትር አቶ አባይ ፀሐዬ አስታወቁ።,"[('የፌዴራል ፖሊስ', 'ORG'), ('አቶ', 'TTL'), ('አባይ ፀሐዬ', 'PER')]"
የመ/ ቤታቸውን የዘጠኝ ወር ሪፖርትና ዕቅድ ያቀረቡት አቶ አባይ ፀሐዬ እንዳስታወቁት በሀገር ደረጃ ፀጥታ ለማረጋገጥ ድጋፍ የሚሰጥ፣ ፌዴራል ተቋማትንም የሚጠብቅ፣ ፈጥኖ ደራሽ ኃይል ለማደራጀትም ከክልሎችና ከፌዴራል ፖሊስ የተመለመሉ አመራሮች ስልጠና ተጀምሯል ብለዋል።,"[('የዘጠኝ ወር', 'TIME'), ('አቶ', 'TTL'), ('አባይ ፀሐዬ', 'PER'), ('ከፌዴራል ፖሊስ', 'ORG')]"
ሚኒስትሩ በጋምቤላ ፀጥታዊ ቀውስ ላይ እንደተናገሩት ደግሞ& laquo; የእኛ መንግሥት ችግሩን አስቀድሞ መከላከል አልቻለም ግን ሁኔታውን ወድያው ለሕዝብ ይፋ አድርጓል& raquo; ካሉ በኋላ& laquo; በስመ ሰብአዊ መብት ጠበቃ ተብዬዎችና ነፃ ጋዜጣ ነን ባዮች& raquo; እውነታው ተዛብቶ ቀርቧል ነው ያሉት።,"[('በጋምቤላ', 'LOC')]"
አንዳንድ የፓርላማ አባላት ግን የአቶ አባይ ፀሐዬን ሪፖርት ያጣጣሉ ሲሆን ይኼ ሪፖርት ሳይሆን ፕሮፖጋንዳ ነው ሲሉ ተናግረዋል።,"[('የአቶ', 'TTL'), ('አባይ ፀሐዬን', 'PER')]"
አንድ የምክር ቤት አባል ስለዚሁ ጉዳይ እንደገለፁት& laquo; የፌዴራል ጉዳዮች ሚኒስትር የዘጠኝ ወራት ሪፖርት ማመልከት የነበረበት ስለተሠሩት ሥራዎችና ስለወደፊቱ እቅድ ነው፤ ይሁንና የጋምቤላን ችግር በተመለከተ ነፃ ጋዜጦችንና የሰብአዊ መብት ተሟጋቾችን መወንጀል የሪፖርቱ አካል ሊሆን የማይገቡ ነጥቦች ናቸው& raquo; ብለዋል።,"[('የዘጠኝ ወራት', 'TIME')]"
ሌላው የምክር ቤት አባል በሰጡት አስተያየት ደግሞ& laquo; በጋምቤላ ጉዳይ መንግስት ስህተቱን ማመኑ ጥሩ ነው፤ ይሁን እንጂ ለጠፋው ሕይወትና ለወደመው ንብረት ተጠያቂ የሆኑ የመንግሥት አካሎች መቼ ለፍርድ ቀረቡ? ከሁሉም በላይ ደግሞ የመንግሥት ኃላፊነት በጐደለ ቁጥር ነፃ ጋዜጦችን በጅምላ ማውገዙ ተገቢ ነወይ?& raquo; ሲሉ አቶ አባይ ፀሐዬን የጠየቁ ሲሆን& laquo; ዴሞክራሲን እየገነባሁ ነው የሚል መንግሥት የዴሞክራሲ አጋዥ ኃይሎችን በጥቅሉ አያወግዙም። ተጠያቂ ሊባሉ የሚችሉ ቢኖሩ እንኳ በስም መጠቀስ ይገባቸዋል& raquo; ብለዋል።,"[('አቶ', 'TTL'), ('አባይ ፀሐዬን', 'PER')]"
በሌላ በኩል አቶ አባይ ፀሐዬ በሰፋሪዎች አካባቢ ስላለው ችግር አልፎ አልፎ ከአማራ ክልል የፈለሱ አርሶ አደሮችና በክልሉ ውስጥ የቆዩ ሰፋሪዎችን በሚመለከት የተከሰተ አለመግባባት መኖሩና በአማራና ከኦሮሚያ ጋር በተነሱ ውሱን አከራካሪ ጉዳዮች በስተቀር የጐላ ችግር አልታየበትም ሲሉ በሪፖርታቸው አመልክተዋል።,"[('አቶ', 'TTL'), ('አባይ ፀሐዬ', 'PER'), ('በሰፋሪዎች አካባቢ', 'LOC'), ('ከአማራ ክልል', 'LOC')]"
ዶ/ ር ታዬ ወልደሰማያት ከርቸሌ ዘመድ እንዳይጠይቁ ዩኒቨርስቲ እንዳይገቡ ታግደዋል,"[('ዶ/ ር', 'TTL'), ('ታዬ ወልደሰማያት', 'PER')]"
ከወህኒ በነፃ ተለቅቀው ሰላማዊ ኑሮ እየኖሩ ያሉት የኢትዮጵያ መምህራን ማኅበር ፕሬዚዳንት ዶ/ ር ታዬ ወ/ ሰማያት በቃሊቲ ማዕከል ማረሚያ ቤት የሚገኙ ዘመድ ወዳጆቻቸውን እንዳይጠይቁ እንዲሁም ዩኒቨርስቲ እንዳይገቡ እገዳ የተጣለባቸው መሆኑን አስታወቁ።,"[('የኢትዮጵያ መምህራን ማኅበር', 'ORG'), ('ፕሬዚዳንት', 'TTL'), ('ዶ/ ር', 'TTL'), ('ታዬ ወ/ ሰማያት', 'PER'), ('በቃሊቲ ማዕከል', 'LOC')]"
"ዶ/ ር ታዬ የገጠማቸውን ችግር በማስመልከት ላቀረብንላቸው ጥያቄ በሰጡን መልስ"" ከበላይ አካል በተሰጠ ትዕዛዝ"" በሚል ከህግ አግባብ ውጪ የመብት ረገጣ እየተደረገባቸው ነው። ይህን ለማለት ያበቃቸው ጳጉሜ 1 ቀን 1995 ዓ. ም ቃሊቲ ወህኒ ቤት የታሰሩ ዘመዳቸውን ለመጠየቅ በሄዱበት ወቅት ባጋጠማቸው ሁኔታ ላይ በመመስረት መሆኑን ገልጠዋል። ዶ/ ር ታዬ በዕለቱ ከዘመዶቻቸው ጋር ሆነው ወህኒ ቤት በደረሱበት ወቅት የጥበቃው አባል"" እዚህ ይጠብቁኝ"" ብሎአቸው ወደ ውስጥ ገብቶ ቆይቶ ከተመለሰ በኋላ"" እንዳትገቡ ታዝዘናል"" የሚል መልስ እንደሰጣቸው ተናግረዋል። እሳቸውም በሁኔታው ግር በመሰኘት"" መታወቂያ ይዣለሁ፤ ለመግባት እንዳልችል ያጓደልሁት ምን እንደሆነ ይነገረኝ?"" ብለው ሲጠይቁ"" ትዕዛዙ የመጣው ከበላይ አካል ነው"" የሚል መልስ በማግኘታቸው ዘመዳቸውን ሳይጠይቁ ለመመለስ መገደዳቸውን በከፍተኛ ቅሬታ ገልጠዋል።","[('ዶ/ ር', 'TTL'), ('ታዬ', 'PER'), ('ጳጉሜ 1 ቀን 1995 ዓ. ም', 'TIME'), ('ቃሊቲ', 'LOC'), ('ዶ/ ር', 'TTL'), ('ታዬ', 'PER')]"
"እንዲህ ዓይነቱ የመብት ረገጣ ሲደረግባቸው ይኸኛው የመጀመሪያቸው አለመሆኑን የገለጡት ዶ/ ር ታዬ፤ በአንድ ወቅት የዩኒቨርስቲ ተማሪዎች ታዋቂ ምሁራን ከሙያቸው ዕውቀት እንዲያካፍሏቸው በማሰብ በያዙት ፕሮግራም ውስጥ እንዲገኙላቸው ጥያቄ አቅርበውላቸው ለመገኘት ፈቃደኛ ነኝ ግን"" ያ ግቢ ምን ያህል ተለውጧል?"" የሚል ጥያቄ አቅርበውላቸው እንደነበር ጠቁመው ተማሪዎቹ በእርግጠኛነት የተሰጣቸው መልስ በዩኒቨርሲቲው ኃላፊዎች ሙሉነፃነት እንዳላቸው እንደተገለጸላቸው ነበር።","[('ዶ/ ር', 'TTL'), ('ታዬ', 'PER')]"
"የተማሪዎቹን ጥያቄ ከተቀበሉ በኋላ"" ለማንኛውም አስፈቅዳችሁ እንድትመጡ"" ብለው እንደላኳቸው አመልክተዋል። ዶ/ ር ታዬ ዩኒቨርስቲ እንዲገኙ ከቀረበላቸው ቀን ሁለት ቀናት ቀደም ብሎ ተማሪዎቹ ፍቃድ መከልከላቸውን በከፍተኛ ቅሬታ እንደገለጡላቸው አስታውቀዋል።","[('ዶ/ ር', 'TTL'), ('ታዬ', 'PER')]"
ዶ/ ር ታዬ እንደገለጡት መንግሥት ከእስር ቤት በነፃየወጡ መሆናቸውን እያረጋገጠ ባለበት ሁኔታ እንደማንኛውም ዜጋ በነፃነት መንቀሳቀስ እንዳይችሉ የተጣለባቸው ገደብ ኢሰብአዊ ነው። በተለይ ደግሞ የእስር ቤቱ ጉዳይ በተራ ሳይሆን ምክንያት በሌለው ሁኔታ ከበላይ ታዝዘናል መባላቸውና ዩኒቨርስቲ እንዳይገቡ መታገዳቸው ወደፊት በተለያዩ እንቅስቃሴዎቻቸው ላይም ተመሳሳይ ማዕቀብ ሊደረግባቸው እንደሚችል ጥርጣሬ እያሳደረባቸው መምጣቱን አስታውቀዋል። ይህ ሁኔታ በሕዝብና በመንግሥት መ/ ቤቶችም እንዳይገቡ የሚከለከሉበት ሁኔታ እንዳይፈጥር ስጋት ያሳደረባቸው መሆኑን ገልጠዋል።,"[('ዶ/ ር', 'TTL'), ('ታዬ', 'PER')]"
"ይህ የተገለጠው የኢትዮጵያ ሕክምና ማኀበር 38ኛ ዓመታዊ ጉባኤውን ግንቦት 28 ቀን 1994 በተባበሩት መንግሥት የስብሰባ ማዕከል በጀመረበት ወቅት"" የሕክምና ዶክተሮች ፍልሰት መንስኤ ምንድንነው? ችግሩን ለመግታትስ ምን መደረግ አለበት"" በሚል ርዕስ ባካሄደው የፓናል ውይይት ላይ ባቀረበ ጥናታዊ ጽሁፍ ነው።","[('የኢትዮጵያ ሕክምና ማኀበር', 'ORG'), ('ግንቦት 28 ቀን 1994', 'TIME'), ('በተባበሩት መንግሥት የስብሰባ ማዕከል', 'LOC')]"
ማኅበሩ ይህን ርዕስ በዓመታዊ ጉባኤው ላይ እንደ ዋነኛ መወያየት ርዕስ የመረጠው ፖሊሲ አውጪዎች፣ የጤና ጥበቃ ሚኒስቴር፣ የክልል ጤና ቢሮዎች፣ የሕክምና ማሠልጠኛ ተቋማት፣ የጥናትና ምርምር ኢንስቲትዮቶችና ኅብረተሰቡ የችግሩን አሳሳቢነት ተረድተው መደረግ ያለበትን በሚመለከት የመፍትሄ ሀሳብ እንዲያቀርቡ መሆኑን የጠቀሱት የአዘጋጅ ኮሚቴው አባል፣ ይህ ክስተት ከወዲሁ አንድ እልባት ካልተበጀለት አገሪቱ ባጭር ጊዜ ውስጥ የሰለጠነ የሰው ኃይሏን ልታጣ እንደምትችል አስገንዝበዋል።,"[('የጤና ጥበቃ ሚኒስቴር', 'ORG')]"
እ. ኤ. አ. በ2000 ዓ. ም አዲስ አበባ ላይ በተመሳሳይ ርዕስ በተካሄደ ስብሰባ አፍሪካ በየዓመቱ 20 ሺ የተማሩ ዜጐቿ ወደ ሰለጠኑት ምዕራባውያን አገሮች ስለሚፈልሱባት በየዓመቱ የውጭ ኤክስፐርቶችን ለመቅጠር 4 ቢሊዮን ዶላር ለማውጣት መገደዷን የጠቆሙት ምሁር ለምሁራኑ ፍልሰት የተለያዩ ምክንያቶች መኖራቸውን አስረድተዋል።,"[('እ. ኤ. አ. በ2000 ዓ. ም', 'TIME'), ('አዲስ አበባ ላይ', 'LOC')]"
የኢትዮጵያ ንግድ ባንክ 1.2 ሚሊዮን ብር ተጭበረበረ,"[('የኢትዮጵያ ንግድ ባንክ', 'ORG')]"
